stein_lam_abs,_timestamp,corrector_loss,_step,energy_w2,stein_var_ratio,_runtime,adjoint_buffer_size,stein_score_loss,dist_w2,adjoint_loss,stein_bias_z,eq_w2,stein_active,stein_tau_mean,corrector_buffer_size
9.455805778503418,1790075194.203686,,2134,,0.8187999725341797,8960.203490529,10000.0,-74.8973617553711,,1.3883848190307617,2.6495024384899186,,1.0,0.928265392780304,
9.36436653137207,1790075198.2021856,,2135,,0.8136224150657654,8964.244054999,10000.0,-75.48352813720703,,1.3957164287567139,2.3130928419137597,,1.0,0.9278108477592468,
9.155109405517578,1790075202.2427218,,2136,,0.8177937865257263,8968.391110214,10000.0,-75.37471008300781,,1.3834339380264282,2.7515766336589897,,1.0,0.9276020526885986,
9.103663444519043,1790075206.3897624,,2137,,0.8221428394317627,8972.392985388,10000.0,-75.84154510498047,,1.3737967014312744,2.7831421096839284,,1.0,0.9273926615715027,
9.517036437988281,1790075210.391651,,2138,,0.8168659210205078,8976.405833989,10000.0,-76.1618423461914,,1.3686631917953491,2.5835240542100584,,1.0,0.9275041222572327,
9.528164863586426,1790075214.4044456,,2139,,0.8194004893302917,8980.392950605,10000.0,-75.7437515258789,,1.3671393394470215,2.878440119046533,,1.0,0.9285634756088257,
9.44757080078125,1790075218.3916311,,2140,,0.8191438317298889,8984.391182182,10000.0,-76.20747375488281,,1.3723499774932861,2.319931777043573,,1.0,0.9286280274391174,
9.621585845947266,1790075222.3898377,,2141,,0.8193684220314026,8988.393503153,10000.0,-76.26876831054688,,1.3805984258651733,2.680205609399291,,1.0,0.9285597205162048,
9.412531852722168,1790075226.3921938,,2142,,0.8158828020095825,8992.39009189,10000.0,-75.73323059082031,,1.408491849899292,2.9342715658533955,,1.0,0.9276630878448486,
9.564882278442383,1790075230.3887703,,2143,,0.8219574093818665,8996.367325355,10000.0,-75.08969116210938,,1.486971139907837,2.6296833446696883,,1.0,0.9270137548446655,
9.635688781738281,1790075234.3660038,,2144,,0.8149524927139282,9000.471038026,10000.0,-75.89386749267578,,1.4138574600219727,2.5037840978763306,,1.0,0.9259841442108154,
9.678508758544922,1790075238.4697185,,2145,,0.8171088695526123,9004.45553216,10000.0,-75.9114761352539,,1.385084867477417,2.5939204890242777,,1.0,0.927202582359314,
9.712611198425293,1790075242.4541986,,2146,,0.8151220679283142,9008.459527221,10000.0,-75.42410278320312,,1.4131486415863037,2.1931479809430114,,1.0,0.9268052577972412,
9.821786880493164,1790075246.4582205,,2147,,0.8159424662590027,9012.477345026,10000.0,-76.19293212890625,,1.3982560634613037,2.699002893888319,,1.0,0.9283534288406372,
9.706025123596191,1790075250.476003,,2148,,0.8184053301811218,9016.485660719,10000.0,-76.73854064941406,,1.414294719696045,2.5382824723774493,,1.0,0.9276248216629028,
9.446893692016602,1790075254.4842515,,2149,,0.8156241774559021,9020.51385032,10000.0,-76.5882797241211,,1.3906840085983276,2.928372561568983,,1.0,0.9269458651542664,
9.68899917602539,1790075258.5125372,,2150,,0.8151301741600037,9024.529638909,10000.0,-75.53791809082031,,1.4277565479278564,2.612544963630368,,1.0,0.9260580539703369,
9.569294929504395,1790075262.5282907,,2151,,0.8145400285720825,9028.663878003,10000.0,-75.48255920410156,,1.402043342590332,2.334620730019713,,1.0,0.927883505821228,
9.712896347045898,1790075266.6625197,,2152,,0.815112829208374,9032.692738547,10000.0,-75.6701889038086,,1.4106303453445435,2.531989807267479,,1.0,0.9267175197601318,
10.239950180053711,1790075270.691447,,2153,,0.8140730857849121,9036.705491131,10000.0,-76.73944091796875,,1.4160090684890747,3.0328689559018214,,1.0,0.9278708100318909,
9.9430513381958,1790075274.70412,,2154,,0.8144661784172058,9040.718398253,10000.0,-76.75633239746094,,1.4178869724273682,2.783538142055073,,1.0,0.9264277815818787,
10.112777709960938,1790075278.717064,,2155,,0.8156236410140991,9044.742229043,10000.0,-76.33602142333984,,1.432267189025879,2.184465685469659,,1.0,0.9271968603134155,
10.099649429321289,1790075282.7409105,,2156,,0.8171525001525879,9048.757688377,10000.0,-76.34086608886719,,1.3719903230667114,2.9269585660396644,,1.0,0.9267198443412781,
